date,,close,creturns,high,log_return,low,open,price,returns,volume,volume_in_dollars
2024-10-30 12:00:00,BTCUSDT,71862.17,0.99408189155926,72140.34,-0.0016937543431558,71750.04,71984.0,71862.17,-0.001692320750767,1946.32423,139867082.6913791
2024-10-30 12:00:00,ETHUSDT,2686.08,1.0250609637423151,2692.66,0.0100650771312907,2653.03,2659.18,2686.08,0.0101159003903459,27899.3028,74939759.265024
2024-10-30 13:00:00,BTCUSDT,71966.0,0.995518190001133,72100.0,0.001443806425915,71436.0,71862.17,71966.0,0.0014448492162149,2218.00998,159621306.22068
2024-10-30 13:00:00,ETHUSDT,2696.76,1.0291366618200968,2702.65,0.0039681707107302,2671.34,2686.07,2696.76,0.0039760543245175,38682.7778,104318167.859928
2024-10-30 14:00:00,BTCUSDT,72411.79,1.001684880576135,72470.0,0.0061753461758746,71932.0,71966.0,72411.79,0.0061944529361086,2024.37063,146588300.94172767
2024-10-30 14:00:00,ETHUSDT,2709.49,1.0339946802217972,2722.3,0.0047093728656119,2696.2,2696.75,2709.49,0.0047204793900827,50807.6086,137662707.425614
2024-10-30 15:00:00,BTCUSDT,72061.34,0.9968370447969352,72440.0,-0.0048514306758645,71693.94,72411.79,72061.34,-0.0048396814938561,1598.1148,115162293.961832
2024-10-30 15:00:00,ETHUSDT,2683.08,1.023916104731702,2713.0,-0.0097950369318011,2671.1,2709.5,2683.08,-0.0097472218018889,32102.8714,86134572.195912
2024-10-30 16:00:00,BTCUSDT,72110.86,0.9975220635664772,72197.5,0.0006869563195596,71800.0,72061.34,72110.86,0.0006871923280915,1098.11079,79185713.4421794
2024-10-30 16:00:00,ETHUSDT,2688.0,1.025793673509107,2696.22,0.0018320342933277,2674.61,2683.07,2688.0,0.0018337134934478,14125.0108,37968029.0304
2024-10-30 17:00:00,BTCUSDT,71894.72,0.9945321613683996,72126.0,-0.0030018303777235,71641.77,72110.86,71894.72,-0.0029973293897757,699.54975,50293933.402320005
2024-10-30 17:00:00,ETHUSDT,2674.0,1.0204509981262473,2688.0,-0.0052219439811517,2660.0,2688.0,2674.0,-0.0052083333333333,14327.0701,38310585.4474
2024-10-30 18:00:00,BTCUSDT,71974.75,0.9956392302724068,72150.0,0.0011125363602809,71851.57,71894.73,71974.75,0.0011131554584258,699.002,50310494.1995
2024-10-30 18:00:00,ETHUSDT,2666.62,1.0176346449601397,2682.5,-0.002763725821152,2663.22,2674.01,2666.62,-0.0027599102468213,12313.7433,32836074.158646
2024-10-30 19:00:00,BTCUSDT,71822.01,0.9935263512970466,72060.0,-0.0021243880243655,71783.19,71974.74,71822.01,-0.0021221331091807,805.15685,57827983.33226849
2024-10-30 19:00:00,ETHUSDT,2655.0,1.013200224392366,2668.47,-0.0043670981646972,2653.26,2666.61,2655.0,-0.0043575762575844,10993.013,29186449.515
2024-10-30 20:00:00,BTCUSDT,72857.14,1.0078454845546387,72857.15,0.014309562407803,71644.19,71822.01,72857.14,0.0144124342941669,3307.50597,240975425.50712585
2024-10-30 20:00:00,ETHUSDT,2679.49,1.0225460901156689,2679.5,0.0091818232123419,2635.52,2655.0,2679.49,0.0092241054613935,37982.7966,101774523.661734
2024-10-30 21:00:00,BTCUSDT,72388.1,1.001357172687394,72961.0,-0.0064586162059322,72112.7,72857.14,72388.1,-0.0064378041740315,1305.51987,94504102.901547
2024-10-30 21:00:00,ETHUSDT,2660.11,1.0151503009071097,2686.13,-0.0072590025842053,2644.74,2679.49,2660.11,-0.007232719659338,16987.5022,45188624.477242
2024-10-30 22:00:00,BTCUSDT,72397.4,1.0014858212042907,72675.53,0.0001284659031847,72252.0,72388.1,72397.4,0.0001284741552822,706.69763,51163070.998162
2024-10-30 22:00:00,ETHUSDT,2659.79,1.0150281826126444,2667.78,-0.0001203030133597,2648.87,2660.11,2659.79,-0.0001202957772423,9645.3375,25654572.229125
2024-10-30 23:00:00,BTCUSDT,72344.74,1.000757366268829,72700.0,-0.000727638852423,72343.98,72397.4,72344.74,-0.0007273741874707,608.77063,44041352.9469862
2024-10-30 23:00:00,ETHUSDT,2659.19,1.0147992108105215,2670.28,-0.0002256071662404,2656.78,2659.79,2659.19,-0.0002255817188574,6601.2398,17553950.863762002
2024-10-31 00:00:00,BTCUSDT,72165.99,0.9982846864413728,72413.99,-0.0024738660051427,72052.98,72344.75,72165.99,-0.0024708085204259,1010.24554,72905369.53718461
2024-10-31 00:00:00,ETHUSDT,2658.56,1.014558790418293,2665.6,-0.0002369423169375,2655.2,2659.19,2658.56,-0.0002369142483237,7404.9297,19686449.903232
2024-10-31 01:00:00,BTCUSDT,72370.0,1.0011067922405297,72455.49,0.0028229665909784,72030.08,72165.99,72370.0,0.0028269549132491,634.00593,45883009.1541
2024-10-31 01:00:00,ETHUSDT,2663.03,1.0162646303441063,2669.0,0.0016799494328878,2637.63,2658.56,2663.03,0.0016813613384689,14795.5611,39401023.076133005
2024-10-31 02:00:00,BTCUSDT,72553.01,1.003638401388629,72588.0,0.0025256182200632,72189.0,72370.01,72553.01,0.002528810280503,728.10372,52826116.4781972
